spectral_rolloff,spectral_bandwidth,peak_count,mid_ratio,low_to_high_ratio,second_peak_freq,kurtosis,centroid,peak_freq,low_ratio,rms,avg_energy,peak_energy,energy_variance,peak_to_avg_e,high_ratio,peak1_to_peak2_ratio,skewness,dc_ratio,delta_peak_freq,spectral_flatness,label
35.546875,13.540542602539062,5.0,0.11358603090047836,0.31815189123153687,0.390625,25.286590576171875,18.471670150756836,19.921875,0.21394671499729156,0.010830601677298546,123.0,1360.0,29025.33203125,11.056910514831543,0.6724672317504883,1.6810877323150635,4.038808345794678,0.0005695121362805367,0.0,0.5345486998558044,0.0
35.546875,13.540542602539062,5.0,0.11358603090047836,0.31815189123153687,0.390625,25.286590576171875,18.471670150756836,19.921875,0.21394671499729156,0.010830601677298546,123.0,1360.0,29025.33203125,11.056910514831543,0.6724672317504883,1.6810877323150635,4.038808345794678,0.0005695121362805367,0.0,0.5345486998558044,0.0
35.546875,13.540542602539062,5.0,0.11358603090047836,0.31815189123153687,0.390625,25.286590576171875,18.471670150756836,19.921875,0.21394671499729156,0.010830601677298546,123.0,1360.0,29025.33203125,11.056910514831543,0.6724672317504883,1.6810877323150635,4.038808345794678,0.0005695121362805367,0.0,0.5345486998558044,0.0
31.25,12.576183319091797,7.0,0.11497489362955093,0.4112848937511444,1.953125,19.5489444732666,16.687931060791016,19.921875,0.25791919231414795,0.012582127936184406,166.0,1765.0,55567.75390625,10.632530212402344,0.6271058917045593,1.8598524332046509,3.4522221088409424,0.0016894269501790404,0.0,0.45103415846824646,0.0
31.25,12.576183319091797,7.0,0.11497489362955093,0.4112848937511444,1.953125,19.5489444732666,16.687931060791016,19.921875,0.25791919231414795,0.012582127936184406,166.0,1765.0,55567.75390625,10.632530212402344,0.6271058917045593,1.8598524332046509,3.4522221088409424,0.0016894269501790404,0.0,0.45103415846824646,0.0
31.25,12.576183319091797,7.0,0.11497489362955093,0.4112848937511444,1.953125,19.5489444732666,16.687931060791016,19.921875,0.25791919231414795,0.012582127936184406,166.0,1765.0,55567.75390625,10.632530212402344,0.6271058917045593,1.8598524332046509,3.4522221088409424,0.0016894269501790404,0.0,0.45103415846824646,0.0
31.25,12.576183319091797,7.0,0.11497489362955093,0.4112848937511444,1.953125,19.5489444732666,16.687931060791016,19.921875,0.25791919231414795,0.012582127936184406,166.0,1765.0,55567.75390625,10.632530212402344,0.6271058917045593,1.8598524332046509,3.4522221088409424,0.0016894269501790404,0.0,0.45103415846824646,0.0
31.25,12.54106616973877,7.0,0.11590681970119476,0.40868377685546875,6.640625,20.87368392944336,16.65591049194336,19.921875,0.25649088621139526,0.012467915192246437,163.0,1789.0,55469.5,10.975460052490234,0.6276022791862488,1.8311156034469604,3.5928163528442383,0.0017150207422673702,0.0,0.46264684200286865,0.0
31.25,12.54106616973877,7.0,0.11590681970119476,0.40868377685546875,6.640625,20.87368392944336,16.65591049194336,19.921875,0.25649088621139526,0.012467915192246437,163.0,1789.0,55469.5,10.975460052490234,0.6276022791862488,1.8311156034469604,3.5928163528442383,0.0017150207422673702,0.0,0.46264684200286865,0.0
31.25,12.54106616973877,7.0,0.11590681970119476,0.40868377685546875,6.640625,20.87368392944336,16.65591049194336,19.921875,0.25649088621139526,0.012467915192246437,163.0,1789.0,55469.5,10.975460052490234,0.6276022791862488,1.8311156034469604,3.5928163528442383,0.0017150207422673702,0.0,0.46264684200286865,0.0
