[MLP]   svm_data_20260428_164908_W256_S32_I1.csv            529샘플
[MLP]   svm_data_20260428_171251_W256_S32_I1.csv             10샘플
[MLP]   svm_data_20260428_171310_W256_S32_I1.csv            964샘플
[MLP]   svm_data_20260429_104801_W256_S32_I1.csv            170샘플
[MLP]   svm_data_20260429_112044_W256_S1_I1.csv             287샘플
[MLP]   svm_data_20260429_121425.csv                          1샘플
[MLP] CSV 6개 병합  →  총 1961샘플
[MLP] 로드 완료 | 전체: 1961개  (배경: 997, 사람: 964)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 1568개 (80%)  검증: 393개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 300  배치: 16  LR: 5e-04  Dropout: 0.3  Early Stop: 비활성화
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭  61/300 | 손실: 0.4297 | 학습: 82.5% | 검증: 78.4% | lr: 5.00e-04
  에폭  62/300 | 손실: 0.4227 | 학습: 82.5% | 검증: 79.1% | lr: 5.00e-04
  에폭  63/300 | 손실: 0.4218 | 학습: 82.7% | 검증: 78.9% | lr: 5.00e-04
  에폭  64/300 | 손실: 0.4167 | 학습: 83.5% | 검증: 77.6% | lr: 5.00e-04
  에폭  65/300 | 손실: 0.4198 | 학습: 82.9% | 검증: 76.6% | lr: 5.00e-04
  에폭  66/300 | 손실: 0.4140 | 학습: 84.0% | 검증: 79.4% | lr: 5.00e-04 ★
  에폭  67/300 | 손실: 0.4122 | 학습: 82.5% | 검증: 77.1% | lr: 5.00e-04
  에폭  68/300 | 손실: 0.4200 | 학습: 82.1% | 검증: 76.6% | lr: 5.00e-04
  에폭  69/300 | 손실: 0.4063 | 학습: 82.5% | 검증: 78.1% | lr: 5.00e-04
  에폭  70/300 | 손실: 0.4129 | 학습: 82.9% | 검증: 77.4% | lr: 5.00e-04
  에폭  71/300 | 손실: 0.4241 | 학습: 82.9% | 검증: 77.6% | lr: 5.00e-04
  에폭  72/300 | 손실: 0.4183 | 학습: 83.0% | 검증: 77.9% | lr: 5.00e-04
  에폭  73/300 | 손실: 0.4193 | 학습: 83.1% | 검증: 79.1% | lr: 5.00e-04
  에폭  74/300 | 손실: 0.4142 | 학습: 82.2% | 검증: 76.3% | lr: 5.00e-04
  에폭  75/300 | 손실: 0.4092 | 학습: 83.3% | 검증: 78.6% | lr: 5.00e-04
  에폭  76/300 | 손실: 0.4094 | 학습: 83.5% | 검증: 76.3% | lr: 5.00e-04
  에폭  77/300 | 손실: 0.4140 | 학습: 83.9% | 검증: 77.6% | lr: 5.00e-04
  에폭  78/300 | 손실: 0.4117 | 학습: 83.2% | 검증: 76.3% | lr: 5.00e-04
  에폭  79/300 | 손실: 0.4135 | 학습: 83.6% | 검증: 75.8% | lr: 5.00e-04
  에폭  80/300 | 손실: 0.4088 | 학습: 84.3% | 검증: 76.8% | lr: 2.50e-04
  에폭  81/300 | 손실: 0.4118 | 학습: 84.0% | 검증: 78.6% | lr: 2.50e-04
  에폭  82/300 | 손실: 0.4044 | 학습: 84.4% | 검증: 76.6% | lr: 2.50e-04
  에폭  83/300 | 손실: 0.4103 | 학습: 83.7% | 검증: 77.9% | lr: 2.50e-04
  에폭  84/300 | 손실: 0.3884 | 학습: 84.4% | 검증: 78.9% | lr: 2.50e-04
  에폭  85/300 | 손실: 0.4064 | 학습: 85.0% | 검증: 77.9% | lr: 2.50e-04
  에폭  86/300 | 손실: 0.4087 | 학습: 84.3% | 검증: 78.4% | lr: 2.50e-04
  에폭  87/300 | 손실: 0.3948 | 학습: 84.4% | 검증: 78.4% | lr: 2.50e-04
  에폭  88/300 | 손실: 0.3945 | 학습: 84.8% | 검증: 78.4% | lr: 2.50e-04
  에폭  89/300 | 손실: 0.3924 | 학습: 84.3% | 검증: 76.8% | lr: 2.50e-04
  에폭  90/300 | 손실: 0.4055 | 학습: 84.6% | 검증: 78.4% | lr: 2.50e-04
  에폭  91/300 | 손실: 0.4022 | 학습: 84.2% | 검증: 77.4% | lr: 2.50e-04
  에폭  92/300 | 손실: 0.3854 | 학습: 84.8% | 검증: 79.1% | lr: 2.50e-04
  에폭  93/300 | 손실: 0.4034 | 학습: 84.8% | 검증: 77.9% | lr: 2.50e-04
  에폭  94/300 | 손실: 0.3968 | 학습: 84.8% | 검증: 77.1% | lr: 2.50e-04
  에폭  95/300 | 손실: 0.3953 | 학습: 84.2% | 검증: 76.3% | lr: 2.50e-04
  에폭  96/300 | 손실: 0.3912 | 학습: 85.1% | 검증: 77.4% | lr: 2.50e-04
  에폭  97/300 | 손실: 0.3888 | 학습: 84.3% | 검증: 75.8% | lr: 2.50e-04
  에폭  98/300 | 손실: 0.3917 | 학습: 84.5% | 검증: 76.1% | lr: 2.50e-04
  에폭  99/300 | 손실: 0.3932 | 학습: 85.6% | 검증: 77.4% | lr: 2.50e-04
  에폭 100/300 | 손실: 0.3973 | 학습: 84.6% | 검증: 77.6% | lr: 2.50e-04
  에폭 101/300 | 손실: 0.4025 | 학습: 85.6% | 검증: 76.8% | lr: 2.50e-04
  에폭 102/300 | 손실: 0.4030 | 학습: 84.8% | 검증: 74.8% | lr: 2.50e-04
  에폭 103/300 | 손실: 0.3935 | 학습: 85.5% | 검증: 76.6% | lr: 1.25e-04
  에폭 104/300 | 손실: 0.3813 | 학습: 85.2% | 검증: 76.8% | lr: 1.25e-04
  에폭 105/300 | 손실: 0.3794 | 학습: 85.6% | 검증: 76.6% | lr: 1.25e-04
  에폭 106/300 | 손실: 0.3716 | 학습: 85.2% | 검증: 76.1% | lr: 1.25e-04
  에폭 107/300 | 손실: 0.3973 | 학습: 85.8% | 검증: 76.3% | lr: 1.25e-04
  에폭 108/300 | 손실: 0.4000 | 학습: 85.8% | 검증: 76.6% | lr: 1.25e-04
  에폭 109/300 | 손실: 0.3858 | 학습: 86.2% | 검증: 77.6% | lr: 1.25e-04
  에폭 110/300 | 손실: 0.3731 | 학습: 85.1% | 검증: 77.1% | lr: 1.25e-04
  에폭 111/300 | 손실: 0.3969 | 학습: 85.9% | 검증: 77.9% | lr: 1.25e-04
  에폭 112/300 | 손실: 0.3837 | 학습: 85.2% | 검증: 75.8% | lr: 1.25e-04
  에폭 113/300 | 손실: 0.3847 | 학습: 86.0% | 검증: 77.6% | lr: 1.25e-04
  에폭 114/300 | 손실: 0.4003 | 학습: 86.0% | 검증: 77.9% | lr: 1.25e-04
  에폭 115/300 | 손실: 0.3867 | 학습: 85.7% | 검증: 76.3% | lr: 1.25e-04
  에폭 116/300 | 손실: 0.3891 | 학습: 85.4% | 검증: 76.6% | lr: 1.25e-04
  에폭 117/300 | 손실: 0.3820 | 학습: 85.8% | 검증: 76.3% | lr: 6.25e-05
  에폭 118/300 | 손실: 0.3783 | 학습: 85.9% | 검증: 77.1% | lr: 6.25e-05
  에폭 119/300 | 손실: 0.3719 | 학습: 85.4% | 검증: 76.8% | lr: 6.25e-05
  에폭 120/300 | 손실: 0.3892 | 학습: 86.1% | 검증: 77.4% | lr: 6.25e-05
  에폭 121/300 | 손실: 0.3898 | 학습: 86.6% | 검증: 76.8% | lr: 6.25e-05
