[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 3000  배치: 64  LR: 5.00e-04  Dropout: 0.3
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=100  factor=0.9  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭  56/3000 | 손실: 0.4837 | 검증손실: 0.4771 | 학습: 79.5% | 검증: 76.0% | lr: 5.00e-04 | 0.5s
  에폭  57/3000 | 손실: 0.4814 | 검증손실: 0.4748 | 학습: 79.7% | 검증: 76.2% | lr: 5.00e-04 | 0.5s ★
  에폭  58/3000 | 손실: 0.4833 | 검증손실: 0.4730 | 학습: 79.8% | 검증: 76.2% | lr: 5.00e-04 | 0.5s
  에폭  59/3000 | 손실: 0.4796 | 검증손실: 0.4721 | 학습: 80.2% | 검증: 76.4% | lr: 5.00e-04 | 0.5s ★
  에폭  60/3000 | 손실: 0.4786 | 검증손실: 0.4705 | 학습: 79.8% | 검증: 76.4% | lr: 5.00e-04 | 0.5s
  에폭  61/3000 | 손실: 0.4817 | 검증손실: 0.4690 | 학습: 80.3% | 검증: 76.3% | lr: 5.00e-04 | 0.5s
  에폭  62/3000 | 손실: 0.4776 | 검증손실: 0.4734 | 학습: 79.9% | 검증: 76.4% | lr: 5.00e-04 | 0.5s ★
  에폭  63/3000 | 손실: 0.4802 | 검증손실: 0.4740 | 학습: 79.8% | 검증: 76.6% | lr: 5.00e-04 | 0.5s ★
  에폭  64/3000 | 손실: 0.4762 | 검증손실: 0.4706 | 학습: 79.9% | 검증: 76.6% | lr: 5.00e-04 | 0.5s ★
  에폭  65/3000 | 손실: 0.4740 | 검증손실: 0.4617 | 학습: 80.4% | 검증: 76.8% | lr: 5.00e-04 | 0.5s ★
  에폭  66/3000 | 손실: 0.4752 | 검증손실: 0.4612 | 학습: 80.8% | 검증: 77.3% | lr: 5.00e-04 | 0.5s ★
  에폭  67/3000 | 손실: 0.4704 | 검증손실: 0.4622 | 학습: 81.3% | 검증: 77.4% | lr: 5.00e-04 | 0.5s ★
  에폭  68/3000 | 손실: 0.4678 | 검증손실: 0.4644 | 학습: 80.6% | 검증: 77.3% | lr: 5.00e-04 | 0.5s
  에폭  69/3000 | 손실: 0.4699 | 검증손실: 0.4597 | 학습: 81.6% | 검증: 78.0% | lr: 5.00e-04 | 0.5s ★
  에폭  70/3000 | 손실: 0.4705 | 검증손실: 0.4622 | 학습: 81.5% | 검증: 77.4% | lr: 5.00e-04 | 0.5s
  에폭  71/3000 | 손실: 0.4683 | 검증손실: 0.4563 | 학습: 81.5% | 검증: 78.0% | lr: 5.00e-04 | 0.5s
  에폭  72/3000 | 손실: 0.4667 | 검증손실: 0.4612 | 학습: 81.0% | 검증: 77.3% | lr: 5.00e-04 | 0.5s
  에폭  73/3000 | 손실: 0.4694 | 검증손실: 0.4575 | 학습: 81.4% | 검증: 78.0% | lr: 5.00e-04 | 0.5s
  에폭  74/3000 | 손실: 0.4692 | 검증손실: 0.4538 | 학습: 81.3% | 검증: 78.1% | lr: 5.00e-04 | 0.5s ★
  에폭  75/3000 | 손실: 0.4631 | 검증손실: 0.4506 | 학습: 81.6% | 검증: 78.1% | lr: 5.00e-04 | 0.5s
  에폭  76/3000 | 손실: 0.4640 | 검증손실: 0.4575 | 학습: 81.4% | 검증: 77.4% | lr: 5.00e-04 | 0.5s
  에폭  77/3000 | 손실: 0.4653 | 검증손실: 0.4525 | 학습: 81.4% | 검증: 77.9% | lr: 5.00e-04 | 0.5s
  에폭  78/3000 | 손실: 0.4649 | 검증손실: 0.4510 | 학습: 81.9% | 검증: 78.3% | lr: 5.00e-04 | 0.5s ★
  에폭  79/3000 | 손실: 0.4606 | 검증손실: 0.4496 | 학습: 82.0% | 검증: 78.7% | lr: 5.00e-04 | 0.5s ★
  에폭  80/3000 | 손실: 0.4631 | 검증손실: 0.4525 | 학습: 82.1% | 검증: 78.0% | lr: 5.00e-04 | 0.5s
  에폭  81/3000 | 손실: 0.4598 | 검증손실: 0.4471 | 학습: 82.5% | 검증: 78.2% | lr: 5.00e-04 | 0.5s
  에폭  82/3000 | 손실: 0.4615 | 검증손실: 0.4486 | 학습: 82.1% | 검증: 78.6% | lr: 5.00e-04 | 0.5s
  에폭  83/3000 | 손실: 0.4556 | 검증손실: 0.4472 | 학습: 82.4% | 검증: 78.5% | lr: 5.00e-04 | 0.5s
  에폭  84/3000 | 손실: 0.4583 | 검증손실: 0.4482 | 학습: 82.3% | 검증: 78.3% | lr: 5.00e-04 | 0.5s
  에폭  85/3000 | 손실: 0.4533 | 검증손실: 0.4427 | 학습: 82.7% | 검증: 78.9% | lr: 5.00e-04 | 0.5s ★
  에폭  86/3000 | 손실: 0.4621 | 검증손실: 0.4465 | 학습: 82.1% | 검증: 78.2% | lr: 5.00e-04 | 0.5s
  에폭  87/3000 | 손실: 0.4542 | 검증손실: 0.4543 | 학습: 81.7% | 검증: 77.5% | lr: 5.00e-04 | 0.5s
  에폭  88/3000 | 손실: 0.4564 | 검증손실: 0.4425 | 학습: 82.5% | 검증: 78.6% | lr: 5.00e-04 | 0.5s
  에폭  89/3000 | 손실: 0.4566 | 검증손실: 0.4434 | 학습: 82.7% | 검증: 78.6% | lr: 5.00e-04 | 0.5s
  에폭  90/3000 | 손실: 0.4534 | 검증손실: 0.4456 | 학습: 82.8% | 검증: 78.5% | lr: 5.00e-04 | 0.5s
  에폭  91/3000 | 손실: 0.4542 | 검증손실: 0.4491 | 학습: 81.9% | 검증: 77.8% | lr: 5.00e-04 | 0.5s
  에폭  92/3000 | 손실: 0.4547 | 검증손실: 0.4433 | 학습: 82.6% | 검증: 79.0% | lr: 5.00e-04 | 0.5s ★
  에폭  93/3000 | 손실: 0.4511 | 검증손실: 0.4379 | 학습: 83.2% | 검증: 78.8% | lr: 5.00e-04 | 0.5s
  에폭  94/3000 | 손실: 0.4488 | 검증손실: 0.4350 | 학습: 83.1% | 검증: 79.0% | lr: 5.00e-04 | 0.5s ★
  에폭  95/3000 | 손실: 0.4491 | 검증손실: 0.4355 | 학습: 82.8% | 검증: 79.0% | lr: 5.00e-04 | 0.5s
  에폭  96/3000 | 손실: 0.4463 | 검증손실: 0.4340 | 학습: 83.5% | 검증: 79.3% | lr: 5.00e-04 | 0.5s ★
  에폭  97/3000 | 손실: 0.4480 | 검증손실: 0.4357 | 학습: 83.5% | 검증: 79.4% | lr: 5.00e-04 | 0.5s ★
  에폭  98/3000 | 손실: 0.4501 | 검증손실: 0.4364 | 학습: 83.4% | 검증: 78.5% | lr: 5.00e-04 | 0.5s
  에폭  99/3000 | 손실: 0.4502 | 검증손실: 0.4270 | 학습: 83.8% | 검증: 80.3% | lr: 5.00e-04 | 0.5s ★
  에폭 100/3000 | 손실: 0.4500 | 검증손실: 0.4316 | 학습: 83.3% | 검증: 79.7% | lr: 5.00e-04 | 0.5s
  에폭 101/3000 | 손실: 0.4428 | 검증손실: 0.4283 | 학습: 84.0% | 검증: 80.3% | lr: 5.00e-04 | 0.5s ★
  에폭 102/3000 | 손실: 0.4463 | 검증손실: 0.4288 | 학습: 84.1% | 검증: 79.8% | lr: 5.00e-04 | 0.5s
  에폭 103/3000 | 손실: 0.4444 | 검증손실: 0.4265 | 학습: 84.2% | 검증: 79.9% | lr: 5.00e-04 | 0.5s
  에폭 104/3000 | 손실: 0.4447 | 검증손실: 0.4288 | 학습: 84.0% | 검증: 79.9% | lr: 5.00e-04 | 0.5s
  에폭 105/3000 | 손실: 0.4450 | 검증손실: 0.4226 | 학습: 84.1% | 검증: 79.8% | lr: 5.00e-04 | 0.5s
  에폭 106/3000 | 손실: 0.4435 | 검증손실: 0.4226 | 학습: 83.9% | 검증: 79.4% | lr: 5.00e-04 | 0.5s
  에폭 107/3000 | 손실: 0.4395 | 검증손실: 0.4262 | 학습: 84.0% | 검증: 79.7% | lr: 5.00e-04 | 0.5s
  에폭 108/3000 | 손실: 0.4402 | 검증손실: 0.4243 | 학습: 84.1% | 검증: 79.8% | lr: 5.00e-04 | 0.5s
  에폭 109/3000 | 손실: 0.4383 | 검증손실: 0.4285 | 학습: 84.1% | 검증: 79.5% | lr: 5.00e-04 | 0.5s
  에폭 110/3000 | 손실: 0.4383 | 검증손실: 0.4244 | 학습: 83.6% | 검증: 79.7% | lr: 5.00e-04 | 0.5s
  에폭 111/3000 | 손실: 0.4410 | 검증손실: 0.4214 | 학습: 84.2% | 검증: 79.9% | lr: 5.00e-04 | 0.5s
  에폭 112/3000 | 손실: 0.4384 | 검증손실: 0.4206 | 학습: 83.9% | 검증: 79.6% | lr: 5.00e-04 | 0.5s
  에폭 113/3000 | 손실: 0.4358 | 검증손실: 0.4239 | 학습: 84.0% | 검증: 79.8% | lr: 5.00e-04 | 0.5s
  에폭 114/3000 | 손실: 0.4411 | 검증손실: 0.4248 | 학습: 84.3% | 검증: 80.1% | lr: 5.00e-04 | 0.5s
  에폭 115/3000 | 손실: 0.4397 | 검증손실: 0.4282 | 학습: 84.0% | 검증: 79.6% | lr: 5.00e-04 | 0.5s
  에폭 116/3000 | 손실: 0.4357 | 검증손실: 0.4214 | 학습: 84.5% | 검증: 80.1% | lr: 5.00e-04 | 0.5s
  에폭 117/3000 | 손실: 0.4353 | 검증손실: 0.4199 | 학습: 84.6% | 검증: 80.0% | lr: 5.00e-04 | 0.5s
  에폭 118/3000 | 손실: 0.4350 | 검증손실: 0.4210 | 학습: 84.4% | 검증: 80.3% | lr: 5.00e-04 | 0.5s
  에폭 119/3000 | 손실: 0.4368 | 검증손실: 0.4184 | 학습: 84.7% | 검증: 80.6% | lr: 5.00e-04 | 0.5s ★
  에폭 120/3000 | 손실: 0.4377 | 검증손실: 0.4250 | 학습: 84.1% | 검증: 79.6% | lr: 5.00e-04 | 0.5s
  에폭 121/3000 | 손실: 0.4345 | 검증손실: 0.4143 | 학습: 85.2% | 검증: 80.8% | lr: 5.00e-04 | 0.5s ★
  에폭 122/3000 | 손실: 0.4361 | 검증손실: 0.4140 | 학습: 84.8% | 검증: 80.9% | lr: 5.00e-04 | 0.5s ★
  에폭 123/3000 | 손실: 0.4341 | 검증손실: 0.4132 | 학습: 84.7% | 검증: 80.1% | lr: 5.00e-04 | 0.5s
  에폭 124/3000 | 손실: 0.4311 | 검증손실: 0.4131 | 학습: 85.4% | 검증: 81.0% | lr: 5.00e-04 | 0.5s ★
  에폭 125/3000 | 손실: 0.4344 | 검증손실: 0.4202 | 학습: 84.8% | 검증: 80.5% | lr: 5.00e-04 | 0.5s
