[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cuda (NVIDIA GeForce GTX 1660 SUPER)
[MLP]  구조: 21 → 256 → 128 → 64 → 32 → 2
[MLP]  에폭: 4000  배치: 64  LR: 1.00e-04  Dropout: 0.3
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=150  factor=0.8  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭  50/4000 | 손실: 0.5198 | 검증손실: 0.5174 | 학습: 75.4% | 검증: 72.5% | lr: 1.00e-04 | 1.6s
  에폭  51/4000 | 손실: 0.5183 | 검증손실: 0.5164 | 학습: 75.4% | 검증: 72.5% | lr: 1.00e-04 | 1.6s
  에폭  52/4000 | 손실: 0.5157 | 검증손실: 0.5144 | 학습: 75.7% | 검증: 73.0% | lr: 1.00e-04 | 1.6s ★
  에폭  53/4000 | 손실: 0.5184 | 검증손실: 0.5161 | 학습: 76.0% | 검증: 72.8% | lr: 1.00e-04 | 1.6s
  에폭  54/4000 | 손실: 0.5209 | 검증손실: 0.5139 | 학습: 75.7% | 검증: 73.0% | lr: 1.00e-04 | 1.6s ★
  에폭  55/4000 | 손실: 0.5171 | 검증손실: 0.5134 | 학습: 76.0% | 검증: 73.2% | lr: 1.00e-04 | 1.6s ★
  에폭  56/4000 | 손실: 0.5167 | 검증손실: 0.5173 | 학습: 75.9% | 검증: 72.9% | lr: 1.00e-04 | 1.6s
  에폭  57/4000 | 손실: 0.5145 | 검증손실: 0.5076 | 학습: 76.4% | 검증: 73.1% | lr: 1.00e-04 | 1.6s
  에폭  58/4000 | 손실: 0.5105 | 검증손실: 0.5095 | 학습: 76.4% | 검증: 73.8% | lr: 1.00e-04 | 1.6s ★
  에폭  59/4000 | 손실: 0.5119 | 검증손실: 0.5069 | 학습: 76.7% | 검증: 73.9% | lr: 1.00e-04 | 1.6s ★
  에폭  60/4000 | 손실: 0.5117 | 검증손실: 0.5065 | 학습: 76.5% | 검증: 73.6% | lr: 1.00e-04 | 1.5s
  에폭  61/4000 | 손실: 0.5082 | 검증손실: 0.5058 | 학습: 77.2% | 검증: 73.8% | lr: 1.00e-04 | 1.6s
  에폭  62/4000 | 손실: 0.5075 | 검증손실: 0.5099 | 학습: 76.2% | 검증: 73.4% | lr: 1.00e-04 | 1.6s
  에폭  63/4000 | 손실: 0.5059 | 검증손실: 0.5107 | 학습: 76.3% | 검증: 73.4% | lr: 1.00e-04 | 1.6s
  에폭  64/4000 | 손실: 0.5083 | 검증손실: 0.5047 | 학습: 77.0% | 검증: 73.6% | lr: 1.00e-04 | 1.6s
  에폭  65/4000 | 손실: 0.5031 | 검증손실: 0.4990 | 학습: 77.3% | 검증: 74.0% | lr: 1.00e-04 | 1.5s ★
  에폭  66/4000 | 손실: 0.5019 | 검증손실: 0.5025 | 학습: 77.4% | 검증: 73.8% | lr: 1.00e-04 | 1.6s
  에폭  67/4000 | 손실: 0.5044 | 검증손실: 0.5017 | 학습: 77.3% | 검증: 73.7% | lr: 1.00e-04 | 1.6s
  에폭  68/4000 | 손실: 0.5061 | 검증손실: 0.4989 | 학습: 77.4% | 검증: 74.4% | lr: 1.00e-04 | 1.6s ★
  에폭  69/4000 | 손실: 0.4995 | 검증손실: 0.5015 | 학습: 77.4% | 검증: 74.2% | lr: 1.00e-04 | 1.6s
  에폭  70/4000 | 손실: 0.4973 | 검증손실: 0.4986 | 학습: 77.5% | 검증: 74.6% | lr: 1.00e-04 | 1.6s ★
  에폭  71/4000 | 손실: 0.5005 | 검증손실: 0.4914 | 학습: 78.1% | 검증: 74.8% | lr: 1.00e-04 | 1.6s ★
  에폭  72/4000 | 손실: 0.4976 | 검증손실: 0.4992 | 학습: 77.2% | 검증: 74.3% | lr: 1.00e-04 | 1.6s
  에폭  73/4000 | 손실: 0.4976 | 검증손실: 0.4956 | 학습: 78.3% | 검증: 74.3% | lr: 1.00e-04 | 1.6s
  에폭  74/4000 | 손실: 0.4952 | 검증손실: 0.4889 | 학습: 78.3% | 검증: 74.4% | lr: 1.00e-04 | 1.7s
