  에폭 138/1000 | 손실: 0.3556 | 학습: 85.5% | 검증: 84.7% | lr: 3.13e-06
  에폭 139/1000 | 손실: 0.3522 | 학습: 85.2% | 검증: 84.9% | lr: 3.13e-06
  에폭 140/1000 | 손실: 0.3557 | 학습: 85.3% | 검증: 84.9% | lr: 3.13e-06
  에폭 141/1000 | 손실: 0.3609 | 학습: 85.4% | 검증: 85.1% | lr: 3.13e-06
  에폭 142/1000 | 손실: 0.3564 | 학습: 85.3% | 검증: 85.2% | lr: 3.13e-06
  에폭 143/1000 | 손실: 0.3528 | 학습: 85.3% | 검증: 85.4% | lr: 3.13e-06 ★
  에폭 144/1000 | 손실: 0.3555 | 학습: 85.2% | 검증: 84.9% | lr: 3.13e-06
  에폭 145/1000 | 손실: 0.3498 | 학습: 85.3% | 검증: 85.0% | lr: 3.13e-06
  에폭 146/1000 | 손실: 0.3560 | 학습: 85.2% | 검증: 85.2% | lr: 3.13e-06
  에폭 147/1000 | 손실: 0.3585 | 학습: 85.1% | 검증: 84.9% | lr: 3.13e-06
  에폭 148/1000 | 손실: 0.3530 | 학습: 85.3% | 검증: 85.0% | lr: 3.13e-06
  에폭 149/1000 | 손실: 0.3586 | 학습: 85.2% | 검증: 84.6% | lr: 3.13e-06
  에폭 150/1000 | 손실: 0.3555 | 학습: 85.1% | 검증: 84.8% | lr: 3.13e-06
  에폭 151/1000 | 손실: 0.3501 | 학습: 85.3% | 검증: 85.1% | lr: 3.13e-06
  에폭 152/1000 | 손실: 0.3543 | 학습: 85.5% | 검증: 85.1% | lr: 3.13e-06
  에폭 153/1000 | 손실: 0.3535 | 학습: 85.4% | 검증: 85.0% | lr: 3.13e-06
  에폭 154/1000 | 손실: 0.3512 | 학습: 85.4% | 검증: 85.0% | lr: 3.13e-06
  에폭 155/1000 | 손실: 0.3530 | 학습: 85.3% | 검증: 85.0% | lr: 3.13e-06
  에폭 156/1000 | 손실: 0.3537 | 학습: 84.9% | 검증: 84.7% | lr: 1.56e-06
  에폭 157/1000 | 손실: 0.3531 | 학습: 85.0% | 검증: 84.7% | lr: 1.56e-06
  에폭 158/1000 | 손실: 0.3556 | 학습: 85.2% | 검증: 84.9% | lr: 1.56e-06
  에폭 159/1000 | 손실: 0.3531 | 학습: 85.5% | 검증: 85.0% | lr: 1.56e-06
  에폭 160/1000 | 손실: 0.3532 | 학습: 85.3% | 검증: 85.3% | lr: 1.56e-06
  에폭 161/1000 | 손실: 0.3522 | 학습: 85.4% | 검증: 85.0% | lr: 1.56e-06
  에폭 162/1000 | 손실: 0.3547 | 학습: 85.2% | 검증: 84.9% | lr: 1.56e-06
  에폭 163/1000 | 손실: 0.3505 | 학습: 85.4% | 검증: 85.1% | lr: 1.56e-06
  에폭 164/1000 | 손실: 0.3532 | 학습: 85.4% | 검증: 84.8% | lr: 1.56e-06
  에폭 165/1000 | 손실: 0.3528 | 학습: 84.9% | 검증: 84.7% | lr: 1.56e-06
  에폭 166/1000 | 손실: 0.3535 | 학습: 85.3% | 검증: 85.3% | lr: 1.56e-06
  에폭 167/1000 | 손실: 0.3522 | 학습: 85.0% | 검증: 84.6% | lr: 1.00e-06
  에폭 168/1000 | 손실: 0.3507 | 학습: 85.3% | 검증: 85.0% | lr: 1.00e-06
  에폭 169/1000 | 손실: 0.3536 | 학습: 85.5% | 검증: 84.9% | lr: 1.00e-06
  에폭 170/1000 | 손실: 0.3502 | 학습: 85.2% | 검증: 85.0% | lr: 1.00e-06
  에폭 171/1000 | 손실: 0.3540 | 학습: 85.0% | 검증: 84.6% | lr: 1.00e-06
  에폭 172/1000 | 손실: 0.3528 | 학습: 85.2% | 검증: 84.6% | lr: 1.00e-06
  에폭 173/1000 | 손실: 0.3545 | 학습: 85.4% | 검증: 85.0% | lr: 1.00e-06
  에폭 174/1000 | 손실: 0.3523 | 학습: 85.3% | 검증: 85.2% | lr: 1.00e-06
  에폭 175/1000 | 손실: 0.3538 | 학습: 85.2% | 검증: 84.7% | lr: 1.00e-06
  에폭 176/1000 | 손실: 0.3552 | 학습: 85.4% | 검증: 85.1% | lr: 1.00e-06
  에폭 177/1000 | 손실: 0.3554 | 학습: 85.1% | 검증: 84.7% | lr: 1.00e-06
  에폭 178/1000 | 손실: 0.3567 | 학습: 85.4% | 검증: 85.1% | lr: 1.00e-06
  에폭 179/1000 | 손실: 0.3539 | 학습: 85.1% | 검증: 84.6% | lr: 1.00e-06
  에폭 180/1000 | 손실: 0.3536 | 학습: 85.2% | 검증: 85.1% | lr: 1.00e-06
  에폭 181/1000 | 손실: 0.3473 | 학습: 85.5% | 검증: 84.9% | lr: 1.00e-06
  에폭 182/1000 | 손실: 0.3542 | 학습: 85.4% | 검증: 84.9% | lr: 1.00e-06
  에폭 183/1000 | 손실: 0.3523 | 학습: 85.4% | 검증: 84.9% | lr: 1.00e-06
  에폭 184/1000 | 손실: 0.3509 | 학습: 85.2% | 검증: 84.6% | lr: 1.00e-06
  에폭 185/1000 | 손실: 0.3559 | 학습: 85.5% | 검증: 85.0% | lr: 1.00e-06
  에폭 186/1000 | 손실: 0.3527 | 학습: 85.4% | 검증: 84.8% | lr: 1.00e-06
  에폭 187/1000 | 손실: 0.3540 | 학습: 85.3% | 검증: 84.9% | lr: 1.00e-06
  에폭 188/1000 | 손실: 0.3546 | 학습: 85.3% | 검증: 85.0% | lr: 1.00e-06
  에폭 189/1000 | 손실: 0.3547 | 학습: 85.3% | 검증: 85.0% | lr: 1.00e-06
  에폭 190/1000 | 손실: 0.3510 | 학습: 85.2% | 검증: 84.9% | lr: 1.00e-06
  에폭 191/1000 | 손실: 0.3534 | 학습: 85.1% | 검증: 84.7% | lr: 1.00e-06
  에폭 192/1000 | 손실: 0.3532 | 학습: 85.1% | 검증: 85.0% | lr: 1.00e-06
  에폭 193/1000 | 손실: 0.3529 | 학습: 85.2% | 검증: 85.2% | lr: 1.00e-06
  에폭 194/1000 | 손실: 0.3558 | 학습: 85.3% | 검증: 85.1% | lr: 1.00e-06
  에폭 195/1000 | 손실: 0.3513 | 학습: 85.2% | 검증: 84.8% | lr: 1.00e-06
  에폭 196/1000 | 손실: 0.3546 | 학습: 85.1% | 검증: 85.0% | lr: 1.00e-06
  에폭 197/1000 | 손실: 0.3511 | 학습: 85.3% | 검증: 85.0% | lr: 1.00e-06
  에폭 198/1000 | 손실: 0.3542 | 학습: 85.3% | 검증: 85.0% | lr: 1.00e-06
  에폭 199/1000 | 손실: 0.3544 | 학습: 85.2% | 검증: 85.2% | lr: 1.00e-06
  에폭 200/1000 | 손실: 0.3488 | 학습: 85.3% | 검증: 85.2% | lr: 1.00e-06
  에폭 201/1000 | 손실: 0.3567 | 학습: 85.2% | 검증: 84.8% | lr: 1.00e-06
  에폭 202/1000 | 손실: 0.3506 | 학습: 85.2% | 검증: 85.3% | lr: 1.00e-06
  에폭 203/1000 | 손실: 0.3509 | 학습: 85.2% | 검증: 84.7% | lr: 1.00e-06
  에폭 204/1000 | 손실: 0.3494 | 학습: 85.4% | 검증: 85.0% | lr: 1.00e-06
  에폭 205/1000 | 손실: 0.3502 | 학습: 85.5% | 검증: 85.2% | lr: 1.00e-06
  에폭 206/1000 | 손실: 0.3539 | 학습: 85.3% | 검증: 85.0% | lr: 1.00e-06
  에폭 207/1000 | 손실: 0.3514 | 학습: 85.4% | 검증: 85.3% | lr: 1.00e-06
  에폭 208/1000 | 손실: 0.3527 | 학습: 85.2% | 검증: 84.7% | lr: 1.00e-06
  에폭 209/1000 | 손실: 0.3520 | 학습: 85.5% | 검증: 85.2% | lr: 1.00e-06
  에폭 210/1000 | 손실: 0.3541 | 학습: 85.1% | 검증: 84.7% | lr: 1.00e-06
  에폭 211/1000 | 손실: 0.3554 | 학습: 85.3% | 검증: 85.2% | lr: 1.00e-06
  에폭 212/1000 | 손실: 0.3550 | 학습: 85.0% | 검증: 84.7% | lr: 1.00e-06
  에폭 213/1000 | 손실: 0.3539 | 학습: 85.0% | 검증: 84.6% | lr: 1.00e-06
  에폭 214/1000 | 손실: 0.3531 | 학습: 85.2% | 검증: 84.9% | lr: 1.00e-06
  에폭 215/1000 | 손실: 0.3500 | 학습: 85.4% | 검증: 85.1% | lr: 1.00e-06
  에폭 216/1000 | 손실: 0.3524 | 학습: 85.3% | 검증: 85.3% | lr: 1.00e-06
  에폭 217/1000 | 손실: 0.3530 | 학습: 85.3% | 검증: 85.1% | lr: 1.00e-06
  에폭 218/1000 | 손실: 0.3542 | 학습: 85.4% | 검증: 85.1% | lr: 1.00e-06
  에폭 219/1000 | 손실: 0.3556 | 학습: 85.5% | 검증: 85.6% | lr: 1.00e-06 ★
  에폭 220/1000 | 손실: 0.3522 | 학습: 85.6% | 검증: 85.4% | lr: 1.00e-06
  에폭 221/1000 | 손실: 0.3546 | 학습: 85.1% | 검증: 84.9% | lr: 1.00e-06
  에폭 222/1000 | 손실: 0.3541 | 학습: 85.4% | 검증: 85.0% | lr: 1.00e-06
  에폭 223/1000 | 손실: 0.3571 | 학습: 85.4% | 검증: 84.7% | lr: 1.00e-06
