[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 1500  배치: 128  LR: 2.00e-03  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭  56/1500 | 손실: 0.4112 | 검증손실: 0.4265 | 학습: 84.7% | 검증: 79.8% | lr: 2.00e-03 | 0.3s
  에폭  57/1500 | 손실: 0.4100 | 검증손실: 0.4199 | 학습: 84.8% | 검증: 79.8% | lr: 2.00e-03 | 0.3s
  에폭  58/1500 | 손실: 0.4141 | 검증손실: 0.4224 | 학습: 84.5% | 검증: 80.1% | lr: 2.00e-03 | 0.3s
  에폭  59/1500 | 손실: 0.4060 | 검증손실: 0.4152 | 학습: 85.4% | 검증: 80.4% | lr: 2.00e-03 | 0.3s
  에폭  60/1500 | 손실: 0.4022 | 검증손실: 0.4171 | 학습: 85.4% | 검증: 80.3% | lr: 2.00e-03 | 0.3s
  에폭  61/1500 | 손실: 0.3971 | 검증손실: 0.4147 | 학습: 85.8% | 검증: 80.8% | lr: 2.00e-03 | 0.3s ★
  에폭  62/1500 | 손실: 0.3946 | 검증손실: 0.4126 | 학습: 85.8% | 검증: 80.3% | lr: 2.00e-03 | 0.3s
  에폭  63/1500 | 손실: 0.3949 | 검증손실: 0.4108 | 학습: 85.4% | 검증: 80.1% | lr: 2.00e-03 | 0.3s
  에폭  64/1500 | 손실: 0.3969 | 검증손실: 0.4046 | 학습: 85.7% | 검증: 80.7% | lr: 2.00e-03 | 0.3s
  에폭  65/1500 | 손실: 0.3971 | 검증손실: 0.4084 | 학습: 85.7% | 검증: 80.2% | lr: 2.00e-03 | 0.3s
  에폭  66/1500 | 손실: 0.3945 | 검증손실: 0.4128 | 학습: 85.6% | 검증: 80.5% | lr: 2.00e-03 | 0.3s
  에폭  67/1500 | 손실: 0.3883 | 검증손실: 0.4015 | 학습: 86.2% | 검증: 80.5% | lr: 2.00e-03 | 0.3s
  에폭  68/1500 | 손실: 0.3887 | 검증손실: 0.3989 | 학습: 86.7% | 검증: 81.0% | lr: 2.00e-03 | 0.3s ★
  에폭  69/1500 | 손실: 0.3935 | 검증손실: 0.4028 | 학습: 86.3% | 검증: 80.9% | lr: 2.00e-03 | 0.3s
  에폭  70/1500 | 손실: 0.3929 | 검증손실: 0.4010 | 학습: 86.7% | 검증: 80.9% | lr: 2.00e-03 | 0.3s
  에폭  71/1500 | 손실: 0.3887 | 검증손실: 0.4006 | 학습: 87.1% | 검증: 81.2% | lr: 2.00e-03 | 0.3s ★
  에폭  72/1500 | 손실: 0.3839 | 검증손실: 0.3966 | 학습: 86.8% | 검증: 81.0% | lr: 2.00e-03 | 0.3s
  에폭  73/1500 | 손실: 0.3900 | 검증손실: 0.3936 | 학습: 87.2% | 검증: 81.8% | lr: 2.00e-03 | 0.3s ★
  에폭  74/1500 | 손실: 0.3854 | 검증손실: 0.4053 | 학습: 86.7% | 검증: 81.5% | lr: 2.00e-03 | 0.3s
  에폭  75/1500 | 손실: 0.3841 | 검증손실: 0.4044 | 학습: 86.8% | 검증: 81.2% | lr: 2.00e-03 | 0.3s
